location,level,normalThreshold,alertThreshold,criticalThreshold,recordedAt
Minuwangoda,2.12,2.0,3.0,3.8,2024-01-01T00:00:00.000Z
Gampaha,1.56,2.0,3.0,3.8,2024-01-01T00:00:00.000Z
Ja-Ela,1.58,2.0,3.0,3.8,2024-01-01T00:00:00.000Z
Negombo,1.73,2.0,3.0,3.8,2024-01-01T00:00:00.000Z
Minuwangoda,1.24,2.0,3.0,3.8,2024-01-02T00:00:00.000Z
Gampaha,1.69,2.0,3.0,3.8,2024-01-02T00:00:00.000Z
Ja-Ela,1.95,2.0,3.0,3.8,2024-01-02T00:00:00.000Z
Negombo,1.40,2.0,3.0,3.8,2024-01-02T00:00:00.000Z
Minuwangoda,1.97,2.0,3.0,3.8,2024-01-03T00:00:00.000Z
Gampaha,1.97,2.0,3.0,3.8,2024-01-03T00:00:00.000Z
Ja-Ela,1.70,2.0,3.0,3.8,2024-01-03T00:00:00.000Z
Negombo,1.28,2.0,3.0,3.8,2024-01-03T00:00:00.000Z
Minuwangoda,1.15,2.0,3.0,3.8,2024-01-04T00:00:00.000Z
Gampaha,1.88,2.0,3.0,3.8,2024-01-04T00:00:00.000Z
Ja-Ela,1.84,2.0,3.0,3.8,2024-01-04T00:00:00.000Z
Negombo,1.52,2.0,3.0,3.8,2024-01-04T00:00:00.000Z
Minuwangoda,2.04,2.0,3.0,3.8,2024-01-05T00:00:00.000Z
Gampaha,1.46,2.0,3.0,3.8,2024-01-05T00:00:00.000Z
Ja-Ela,1.95,2.0,3.0,3.8,2024-01-05T00:00:00.000Z
Negombo,1.67,2.0,3.0,3.8,2024-01-05T00:00:00.000Z
Minuwangoda,1.52,2.0,3.0,3.8,2024-01-06T00:00:00.000Z
Gampaha,1.96,2.0,3.0,3.8,2024-01-06T00:00:00.000Z
Ja-Ela,1.79,2.0,3.0,3.8,2024-01-06T00:00:00.000Z
Negombo,1.67,2.0,3.0,3.8,2024-01-06T00:00:00.000Z
Minuwangoda,2.17,2.0,3.0,3.8,2024-01-07T00:00:00.000Z
Gampaha,2.07,2.0,3.0,3.8,2024-01-07T00:00:00.000Z
Ja-Ela,1.37,2.0,3.0,3.8,2024-01-07T00:00:00.000Z
Negombo,1.28,2.0,3.0,3.8,2024-01-07T00:00:00.000Z
Minuwangoda,2.03,2.0,3.0,3.8,2024-01-08T00:00:00.000Z
Gampaha,1.27,2.0,3.0,3.8,2024-01-08T00:00:00.000Z
Ja-Ela,1.68,2.0,3.0,3.8,2024-01-08T00:00:00.000Z
Negombo,1.81,2.0,3.0,3.8,2024-01-08T00:00:00.000Z
Minuwangoda,2.09,2.0,3.0,3.8,2024-01-09T00:00:00.000Z
Gampaha,1.07,2.0,3.0,3.8,2024-01-09T00:00:00.000Z
Ja-Ela,1.08,2.0,3.0,3.8,2024-01-09T00:00:00.000Z
Negombo,1.65,2.0,3.0,3.8,2024-01-09T00:00:00.000Z
Minuwangoda,1.40,2.0,3.0,3.8,2024-01-10T00:00:00.000Z
Gampaha,1.71,2.0,3.0,3.8,2024-01-10T00:00:00.000Z
Ja-Ela,1.29,2.0,3.0,3.8,2024-01-10T00:00:00.000Z
Negombo,1.90,2.0,3.0,3.8,2024-01-10T00:00:00.000Z
Minuwangoda,1.54,2.0,3.0,3.8,2024-01-11T00:00:00.000Z
Gampaha,2.07,2.0,3.0,3.8,2024-01-11T00:00:00.000Z
Ja-Ela,1.83,2.0,3.0,3.8,2024-01-11T00:00:00.000Z
Negombo,1.43,2.0,3.0,3.8,2024-01-11T00:00:00.000Z
Minuwangoda,2.13,2.0,3.0,3.8,2024-01-12T00:00:00.000Z
Gampaha,2.05,2.0,3.0,3.8,2024-01-12T00:00:00.000Z
Ja-Ela,1.03,2.0,3.0,3.8,2024-01-12T00:00:00.000Z
Negombo,2.14,2.0,3.0,3.8,2024-01-12T00:00:00.000Z
Minuwangoda,2.13,2.0,3.0,3.8,2024-01-13T00:00:00.000Z
Gampaha,1.98,2.0,3.0,3.8,2024-01-13T00:00:00.000Z
Ja-Ela,1.99,2.0,3.0,3.8,2024-01-13T00:00:00.000Z
Negombo,1.54,2.0,3.0,3.8,2024-01-13T00:00:00.000Z
Minuwangoda,1.20,2.0,3.0,3.8,2024-01-14T00:00:00.000Z
Gampaha,1.22,2.0,3.0,3.8,2024-01-14T00:00:00.000Z
Ja-Ela,1.89,2.0,3.0,3.8,2024-01-14T00:00:00.000Z
Negombo,1.60,2.0,3.0,3.8,2024-01-14T00:00:00.000Z
Minuwangoda,1.36,2.0,3.0,3.8,2024-01-15T00:00:00.000Z
Gampaha,2.09,2.0,3.0,3.8,2024-01-15T00:00:00.000Z
Ja-Ela,1.87,2.0,3.0,3.8,2024-01-15T00:00:00.000Z
Negombo,2.06,2.0,3.0,3.8,2024-01-15T00:00:00.000Z
Minuwangoda,2.01,2.0,3.0,3.8,2024-01-16T00:00:00.000Z
Gampaha,1.01,2.0,3.0,3.8,2024-01-16T00:00:00.000Z
Ja-Ela,2.08,2.0,3.0,3.8,2024-01-16T00:00:00.000Z
Negombo,2.05,2.0,3.0,3.8,2024-01-16T00:00:00.000Z
Minuwangoda,1.62,2.0,3.0,3.8,2024-01-17T00:00:00.000Z
Gampaha,1.16,2.0,3.0,3.8,2024-01-17T00:00:00.000Z
Ja-Ela,1.88,2.0,3.0,3.8,2024-01-17T00:00:00.000Z
Negombo,1.59,2.0,3.0,3.8,2024-01-17T00:00:00.000Z
Minuwangoda,1.51,2.0,3.0,3.8,2024-01-18T00:00:00.000Z
Gampaha,2.10,2.0,3.0,3.8,2024-01-18T00:00:00.000Z
Ja-Ela,1.94,2.0,3.0,3.8,2024-01-18T00:00:00.000Z
Negombo,2.03,2.0,3.0,3.8,2024-01-18T00:00:00.000Z
Minuwangoda,1.18,2.0,3.0,3.8,2024-01-19T00:00:00.000Z
Gampaha,1.17,2.0,3.0,3.8,2024-01-19T00:00:00.000Z
Ja-Ela,1.50,2.0,3.0,3.8,2024-01-19T00:00:00.000Z
Negombo,1.90,2.0,3.0,3.8,2024-01-19T00:00:00.000Z
Minuwangoda,1.17,2.0,3.0,3.8,2024-01-20T00:00:00.000Z
Gampaha,2.08,2.0,3.0,3.8,2024-01-20T00:00:00.000Z
Ja-Ela,1.23,2.0,3.0,3.8,2024-01-20T00:00:00.000Z
Negombo,1.70,2.0,3.0,3.8,2024-01-20T00:00:00.000Z
Minuwangoda,1.16,2.0,3.0,3.8,2024-01-21T00:00:00.000Z
Gampaha,1.97,2.0,3.0,3.8,2024-01-21T00:00:00.000Z
Ja-Ela,1.54,2.0,3.0,3.8,2024-01-21T00:00:00.000Z
Negombo,2.11,2.0,3.0,3.8,2024-01-21T00:00:00.000Z
Minuwangoda,2.10,2.0,3.0,3.8,2024-01-22T00:00:00.000Z
Gampaha,1.62,2.0,3.0,3.8,2024-01-22T00:00:00.000Z
Ja-Ela,1.06,2.0,3.0,3.8,2024-01-22T00:00:00.000Z
Negombo,1.15,2.0,3.0,3.8,2024-01-22T00:00:00.000Z
Minuwangoda,1.34,2.0,3.0,3.8,2024-01-23T00:00:00.000Z
Gampaha,1.60,2.0,3.0,3.8,2024-01-23T00:00:00.000Z
Ja-Ela,2.00,2.0,3.0,3.8,2024-01-23T00:00:00.000Z
Negombo,1.58,2.0,3.0,3.8,2024-01-23T00:00:00.000Z
Minuwangoda,1.12,2.0,3.0,3.8,2024-01-24T00:00:00.000Z
Gampaha,1.55,2.0,3.0,3.8,2024-01-24T00:00:00.000Z
Ja-Ela,1.57,2.0,3.0,3.8,2024-01-24T00:00:00.000Z
Negombo,2.08,2.0,3.0,3.8,2024-01-24T00:00:00.000Z
Minuwangoda,1.73,2.0,3.0,3.8,2024-01-25T00:00:00.000Z
Gampaha,1.67,2.0,3.0,3.8,2024-01-25T00:00:00.000Z
Ja-Ela,1.23,2.0,3.0,3.8,2024-01-25T00:00:00.000Z
Negombo,1.13,2.0,3.0,3.8,2024-01-25T00:00:00.000Z
Minuwangoda,1.38,2.0,3.0,3.8,2024-01-26T00:00:00.000Z
Gampaha,1.48,2.0,3.0,3.8,2024-01-26T00:00:00.000Z
Ja-Ela,1.22,2.0,3.0,3.8,2024-01-26T00:00:00.000Z
Negombo,1.04,2.0,3.0,3.8,2024-01-26T00:00:00.000Z
Minuwangoda,1.68,2.0,3.0,3.8,2024-01-27T00:00:00.000Z
Gampaha,2.18,2.0,3.0,3.8,2024-01-27T00:00:00.000Z
Ja-Ela,1.88,2.0,3.0,3.8,2024-01-27T00:00:00.000Z
Negombo,1.10,2.0,3.0,3.8,2024-01-27T00:00:00.000Z
Minuwangoda,2.08,2.0,3.0,3.8,2024-01-28T00:00:00.000Z
Gampaha,1.58,2.0,3.0,3.8,2024-01-28T00:00:00.000Z
Ja-Ela,1.04,2.0,3.0,3.8,2024-01-28T00:00:00.000Z
Negombo,1.19,2.0,3.0,3.8,2024-01-28T00:00:00.000Z
Minuwangoda,1.73,2.0,3.0,3.8,2024-01-29T00:00:00.000Z
Gampaha,1.85,2.0,3.0,3.8,2024-01-29T00:00:00.000Z
Ja-Ela,1.53,2.0,3.0,3.8,2024-01-29T00:00:00.000Z
Negombo,1.08,2.0,3.0,3.8,2024-01-29T00:00:00.000Z
Minuwangoda,1.83,2.0,3.0,3.8,2024-01-30T00:00:00.000Z
Gampaha,1.03,2.0,3.0,3.8,2024-01-30T00:00:00.000Z
Ja-Ela,2.10,2.0,3.0,3.8,2024-01-30T00:00:00.000Z
Negombo,1.39,2.0,3.0,3.8,2024-01-30T00:00:00.000Z
Minuwangoda,1.20,2.0,3.0,3.8,2024-01-31T00:00:00.000Z
Gampaha,1.69,2.0,3.0,3.8,2024-01-31T00:00:00.000Z
Ja-Ela,1.35,2.0,3.0,3.8,2024-01-31T00:00:00.000Z
Negombo,1.72,2.0,3.0,3.8,2024-01-31T00:00:00.000Z
Minuwangoda,1.29,2.0,3.0,3.8,2024-02-01T00:00:00.000Z
Gampaha,1.78,2.0,3.0,3.8,2024-02-01T00:00:00.000Z
Ja-Ela,1.33,2.0,3.0,3.8,2024-02-01T00:00:00.000Z
Negombo,1.25,2.0,3.0,3.8,2024-02-01T00:00:00.000Z
Minuwangoda,1.77,2.0,3.0,3.8,2024-02-02T00:00:00.000Z
Gampaha,1.08,2.0,3.0,3.8,2024-02-02T00:00:00.000Z
Ja-Ela,1.36,2.0,3.0,3.8,2024-02-02T00:00:00.000Z
Negombo,2.13,2.0,3.0,3.8,2024-02-02T00:00:00.000Z
Minuwangoda,2.08,2.0,3.0,3.8,2024-02-03T00:00:00.000Z
Gampaha,1.96,2.0,3.0,3.8,2024-02-03T00:00:00.000Z
Ja-Ela,1.32,2.0,3.0,3.8,2024-02-03T00:00:00.000Z
Negombo,1.42,2.0,3.0,3.8,2024-02-03T00:00:00.000Z
Minuwangoda,1.11,2.0,3.0,3.8,2024-02-04T00:00:00.000Z
Gampaha,1.03,2.0,3.0,3.8,2024-02-04T00:00:00.000Z
Ja-Ela,2.05,2.0,3.0,3.8,2024-02-04T00:00:00.000Z
Negombo,1.81,2.0,3.0,3.8,2024-02-04T00:00:00.000Z
Minuwangoda,1.20,2.0,3.0,3.8,2024-02-05T00:00:00.000Z
Gampaha,2.11,2.0,3.0,3.8,2024-02-05T00:00:00.000Z
Ja-Ela,1.65,2.0,3.0,3.8,2024-02-05T00:00:00.000Z
Negombo,2.12,2.0,3.0,3.8,2024-02-05T00:00:00.000Z
Minuwangoda,2.02,2.0,3.0,3.8,2024-02-06T00:00:00.000Z
Gampaha,1.76,2.0,3.0,3.8,2024-02-06T00:00:00.000Z
Ja-Ela,1.85,2.0,3.0,3.8,2024-02-06T00:00:00.000Z
Negombo,1.84,2.0,3.0,3.8,2024-02-06T00:00:00.000Z
Minuwangoda,1.29,2.0,3.0,3.8,2024-02-07T00:00:00.000Z
Gampaha,2.13,2.0,3.0,3.8,2024-02-07T00:00:00.000Z
Ja-Ela,1.20,2.0,3.0,3.8,2024-02-07T00:00:00.000Z
Negombo,1.07,2.0,3.0,3.8,2024-02-07T00:00:00.000Z
Minuwangoda,1.71,2.0,3.0,3.8,2024-02-08T00:00:00.000Z
Gampaha,1.65,2.0,3.0,3.8,2024-02-08T00:00:00.000Z
Ja-Ela,1.92,2.0,3.0,3.8,2024-02-08T00:00:00.000Z
Negombo,2.11,2.0,3.0,3.8,2024-02-08T00:00:00.000Z
Minuwangoda,2.08,2.0,3.0,3.8,2024-02-09T00:00:00.000Z
Gampaha,1.37,2.0,3.0,3.8,2024-02-09T00:00:00.000Z
Ja-Ela,2.01,2.0,3.0,3.8,2024-02-09T00:00:00.000Z
Negombo,1.03,2.0,3.0,3.8,2024-02-09T00:00:00.000Z
Minuwangoda,1.38,2.0,3.0,3.8,2024-02-10T00:00:00.000Z
Gampaha,1.68,2.0,3.0,3.8,2024-02-10T00:00:00.000Z
Ja-Ela,1.74,2.0,3.0,3.8,2024-02-10T00:00:00.000Z
Negombo,1.31,2.0,3.0,3.8,2024-02-10T00:00:00.000Z
Minuwangoda,1.53,2.0,3.0,3.8,2024-02-11T00:00:00.000Z
Gampaha,1.64,2.0,3.0,3.8,2024-02-11T00:00:00.000Z
Ja-Ela,1.98,2.0,3.0,3.8,2024-02-11T00:00:00.000Z
Negombo,1.49,2.0,3.0,3.8,2024-02-11T00:00:00.000Z
Minuwangoda,1.40,2.0,3.0,3.8,2024-02-12T00:00:00.000Z
Gampaha,1.26,2.0,3.0,3.8,2024-02-12T00:00:00.000Z
Ja-Ela,1.97,2.0,3.0,3.8,2024-02-12T00:00:00.000Z
Negombo,1.98,2.0,3.0,3.8,2024-02-12T00:00:00.000Z
Minuwangoda,1.64,2.0,3.0,3.8,2024-02-13T00:00:00.000Z
Gampaha,2.04,2.0,3.0,3.8,2024-02-13T00:00:00.000Z
Ja-Ela,1.22,2.0,3.0,3.8,2024-02-13T00:00:00.000Z
Negombo,1.65,2.0,3.0,3.8,2024-02-13T00:00:00.000Z
Minuwangoda,1.90,2.0,3.0,3.8,2024-02-14T00:00:00.000Z
Gampaha,1.47,2.0,3.0,3.8,2024-02-14T00:00:00.000Z
Ja-Ela,1.43,2.0,3.0,3.8,2024-02-14T00:00:00.000Z
Negombo,1.72,2.0,3.0,3.8,2024-02-14T00:00:00.000Z
Minuwangoda,1.32,2.0,3.0,3.8,2024-02-15T00:00:00.000Z
Gampaha,1.42,2.0,3.0,3.8,2024-02-15T00:00:00.000Z
Ja-Ela,1.97,2.0,3.0,3.8,2024-02-15T00:00:00.000Z
Negombo,1.56,2.0,3.0,3.8,2024-02-15T00:00:00.000Z
Minuwangoda,1.72,2.0,3.0,3.8,2024-02-16T00:00:00.000Z
Gampaha,1.15,2.0,3.0,3.8,2024-02-16T00:00:00.000Z
Ja-Ela,1.76,2.0,3.0,3.8,2024-02-16T00:00:00.000Z
Negombo,1.11,2.0,3.0,3.8,2024-02-16T00:00:00.000Z
Minuwangoda,1.77,2.0,3.0,3.8,2024-02-17T00:00:00.000Z
Gampaha,1.23,2.0,3.0,3.8,2024-02-17T00:00:00.000Z
Ja-Ela,1.38,2.0,3.0,3.8,2024-02-17T00:00:00.000Z
Negombo,1.10,2.0,3.0,3.8,2024-02-17T00:00:00.000Z
Minuwangoda,2.10,2.0,3.0,3.8,2024-02-18T00:00:00.000Z
Gampaha,1.85,2.0,3.0,3.8,2024-02-18T00:00:00.000Z
Ja-Ela,2.05,2.0,3.0,3.8,2024-02-18T00:00:00.000Z
Negombo,2.02,2.0,3.0,3.8,2024-02-18T00:00:00.000Z
Minuwangoda,1.05,2.0,3.0,3.8,2024-02-19T00:00:00.000Z
Gampaha,2.03,2.0,3.0,3.8,2024-02-19T00:00:00.000Z
Ja-Ela,1.74,2.0,3.0,3.8,2024-02-19T00:00:00.000Z
Negombo,1.59,2.0,3.0,3.8,2024-02-19T00:00:00.000Z
Minuwangoda,1.96,2.0,3.0,3.8,2024-02-20T00:00:00.000Z
Gampaha,1.69,2.0,3.0,3.8,2024-02-20T00:00:00.000Z
Ja-Ela,2.13,2.0,3.0,3.8,2024-02-20T00:00:00.000Z
Negombo,1.98,2.0,3.0,3.8,2024-02-20T00:00:00.000Z
Minuwangoda,2.03,2.0,3.0,3.8,2024-02-21T00:00:00.000Z
Gampaha,1.27,2.0,3.0,3.8,2024-02-21T00:00:00.000Z
Ja-Ela,1.28,2.0,3.0,3.8,2024-02-21T00:00:00.000Z
Negombo,2.02,2.0,3.0,3.8,2024-02-21T00:00:00.000Z
Minuwangoda,1.51,2.0,3.0,3.8,2024-02-22T00:00:00.000Z
Gampaha,1.33,2.0,3.0,3.8,2024-02-22T00:00:00.000Z
Ja-Ela,2.18,2.0,3.0,3.8,2024-02-22T00:00:00.000Z
Negombo,2.00,2.0,3.0,3.8,2024-02-22T00:00:00.000Z
Minuwangoda,1.23,2.0,3.0,3.8,2024-02-23T00:00:00.000Z
Gampaha,1.10,2.0,3.0,3.8,2024-02-23T00:00:00.000Z
Ja-Ela,1.84,2.0,3.0,3.8,2024-02-23T00:00:00.000Z
Negombo,2.00,2.0,3.0,3.8,2024-02-23T00:00:00.000Z
Minuwangoda,1.45,2.0,3.0,3.8,2024-02-24T00:00:00.000Z
Gampaha,1.38,2.0,3.0,3.8,2024-02-24T00:00:00.000Z
Ja-Ela,1.68,2.0,3.0,3.8,2024-02-24T00:00:00.000Z
Negombo,1.08,2.0,3.0,3.8,2024-02-24T00:00:00.000Z
Minuwangoda,1.64,2.0,3.0,3.8,2024-02-25T00:00:00.000Z
Gampaha,1.29,2.0,3.0,3.8,2024-02-25T00:00:00.000Z
Ja-Ela,1.95,2.0,3.0,3.8,2024-02-25T00:00:00.000Z
Negombo,1.47,2.0,3.0,3.8,2024-02-25T00:00:00.000Z
Minuwangoda,1.07,2.0,3.0,3.8,2024-02-26T00:00:00.000Z
Gampaha,1.02,2.0,3.0,3.8,2024-02-26T00:00:00.000Z
Ja-Ela,2.11,2.0,3.0,3.8,2024-02-26T00:00:00.000Z
Negombo,1.64,2.0,3.0,3.8,2024-02-26T00:00:00.000Z
Minuwangoda,1.04,2.0,3.0,3.8,2024-02-27T00:00:00.000Z
Gampaha,2.04,2.0,3.0,3.8,2024-02-27T00:00:00.000Z
Ja-Ela,1.53,2.0,3.0,3.8,2024-02-27T00:00:00.000Z
Negombo,2.16,2.0,3.0,3.8,2024-02-27T00:00:00.000Z
Minuwangoda,1.53,2.0,3.0,3.8,2024-02-28T00:00:00.000Z
Gampaha,1.65,2.0,3.0,3.8,2024-02-28T00:00:00.000Z
Ja-Ela,1.04,2.0,3.0,3.8,2024-02-28T00:00:00.000Z
Negombo,1.42,2.0,3.0,3.8,2024-02-28T00:00:00.000Z
Minuwangoda,1.50,2.0,3.0,3.8,2024-02-29T00:00:00.000Z
Gampaha,1.47,2.0,3.0,3.8,2024-02-29T00:00:00.000Z
Ja-Ela,1.18,2.0,3.0,3.8,2024-02-29T00:00:00.000Z
Negombo,1.68,2.0,3.0,3.8,2024-02-29T00:00:00.000Z
Minuwangoda,2.21,2.0,3.0,3.8,2024-03-01T00:00:00.000Z
Gampaha,2.67,2.0,3.0,3.8,2024-03-01T00:00:00.000Z
Ja-Ela,2.86,2.0,3.0,3.8,2024-03-01T00:00:00.000Z
Negombo,2.40,2.0,3.0,3.8,2024-03-01T00:00:00.000Z
Minuwangoda,2.17,2.0,3.0,3.8,2024-03-02T00:00:00.000Z
Gampaha,3.49,2.0,3.0,3.8,2024-03-02T00:00:00.000Z
Ja-Ela,2.80,2.0,3.0,3.8,2024-03-02T00:00:00.000Z
Negombo,3.11,2.0,3.0,3.8,2024-03-02T00:00:00.000Z
Minuwangoda,2.65,2.0,3.0,3.8,2024-03-03T00:00:00.000Z
Gampaha,2.22,2.0,3.0,3.8,2024-03-03T00:00:00.000Z
Ja-Ela,3.35,2.0,3.0,3.8,2024-03-03T00:00:00.000Z
Negombo,3.21,2.0,3.0,3.8,2024-03-03T00:00:00.000Z
Minuwangoda,2.43,2.0,3.0,3.8,2024-03-04T00:00:00.000Z
Gampaha,2.96,2.0,3.0,3.8,2024-03-04T00:00:00.000Z
Ja-Ela,2.15,2.0,3.0,3.8,2024-03-04T00:00:00.000Z
Negombo,3.02,2.0,3.0,3.8,2024-03-04T00:00:00.000Z
Minuwangoda,2.76,2.0,3.0,3.8,2024-03-05T00:00:00.000Z
Gampaha,3.18,2.0,3.0,3.8,2024-03-05T00:00:00.000Z
Ja-Ela,3.27,2.0,3.0,3.8,2024-03-05T00:00:00.000Z
Negombo,3.17,2.0,3.0,3.8,2024-03-05T00:00:00.000Z
Minuwangoda,2.95,2.0,3.0,3.8,2024-03-06T00:00:00.000Z
Gampaha,2.37,2.0,3.0,3.8,2024-03-06T00:00:00.000Z
Ja-Ela,2.10,2.0,3.0,3.8,2024-03-06T00:00:00.000Z
Negombo,3.40,2.0,3.0,3.8,2024-03-06T00:00:00.000Z
Minuwangoda,2.98,2.0,3.0,3.8,2024-03-07T00:00:00.000Z
Gampaha,3.28,2.0,3.0,3.8,2024-03-07T00:00:00.000Z
Ja-Ela,3.33,2.0,3.0,3.8,2024-03-07T00:00:00.000Z
Negombo,2.52,2.0,3.0,3.8,2024-03-07T00:00:00.000Z
Minuwangoda,2.09,2.0,3.0,3.8,2024-03-08T00:00:00.000Z
Gampaha,2.47,2.0,3.0,3.8,2024-03-08T00:00:00.000Z
Ja-Ela,3.27,2.0,3.0,3.8,2024-03-08T00:00:00.000Z
Negombo,2.17,2.0,3.0,3.8,2024-03-08T00:00:00.000Z
Minuwangoda,2.27,2.0,3.0,3.8,2024-03-09T00:00:00.000Z
Gampaha,2.62,2.0,3.0,3.8,2024-03-09T00:00:00.000Z
Ja-Ela,2.78,2.0,3.0,3.8,2024-03-09T00:00:00.000Z
Negombo,2.85,2.0,3.0,3.8,2024-03-09T00:00:00.000Z
Minuwangoda,2.39,2.0,3.0,3.8,2024-03-10T00:00:00.000Z
Gampaha,2.83,2.0,3.0,3.8,2024-03-10T00:00:00.000Z
Ja-Ela,2.97,2.0,3.0,3.8,2024-03-10T00:00:00.000Z
Negombo,2.07,2.0,3.0,3.8,2024-03-10T00:00:00.000Z
Minuwangoda,3.33,2.0,3.0,3.8,2024-03-11T00:00:00.000Z
Gampaha,2.49,2.0,3.0,3.8,2024-03-11T00:00:00.000Z
Ja-Ela,3.37,2.0,3.0,3.8,2024-03-11T00:00:00.000Z
Negombo,2.18,2.0,3.0,3.8,2024-03-11T00:00:00.000Z
Minuwangoda,2.44,2.0,3.0,3.8,2024-03-12T00:00:00.000Z
Gampaha,2.89,2.0,3.0,3.8,2024-03-12T00:00:00.000Z
Ja-Ela,2.56,2.0,3.0,3.8,2024-03-12T00:00:00.000Z
Negombo,2.40,2.0,3.0,3.8,2024-03-12T00:00:00.000Z
Minuwangoda,3.19,2.0,3.0,3.8,2024-03-13T00:00:00.000Z
Gampaha,3.42,2.0,3.0,3.8,2024-03-13T00:00:00.000Z
Ja-Ela,2.08,2.0,3.0,3.8,2024-03-13T00:00:00.000Z
Negombo,2.97,2.0,3.0,3.8,2024-03-13T00:00:00.000Z
Minuwangoda,2.94,2.0,3.0,3.8,2024-03-14T00:00:00.000Z
Gampaha,2.75,2.0,3.0,3.8,2024-03-14T00:00:00.000Z
Ja-Ela,2.52,2.0,3.0,3.8,2024-03-14T00:00:00.000Z
Negombo,2.36,2.0,3.0,3.8,2024-03-14T00:00:00.000Z
Minuwangoda,2.61,2.0,3.0,3.8,2024-03-15T00:00:00.000Z
Gampaha,2.36,2.0,3.0,3.8,2024-03-15T00:00:00.000Z
Ja-Ela,2.68,2.0,3.0,3.8,2024-03-15T00:00:00.000Z
Negombo,3.38,2.0,3.0,3.8,2024-03-15T00:00:00.000Z
Minuwangoda,3.36,2.0,3.0,3.8,2024-03-16T00:00:00.000Z
Gampaha,3.19,2.0,3.0,3.8,2024-03-16T00:00:00.000Z
Ja-Ela,2.34,2.0,3.0,3.8,2024-03-16T00:00:00.000Z
Negombo,2.67,2.0,3.0,3.8,2024-03-16T00:00:00.000Z
Minuwangoda,3.31,2.0,3.0,3.8,2024-03-17T00:00:00.000Z
Gampaha,2.04,2.0,3.0,3.8,2024-03-17T00:00:00.000Z
Ja-Ela,3.37,2.0,3.0,3.8,2024-03-17T00:00:00.000Z
Negombo,2.23,2.0,3.0,3.8,2024-03-17T00:00:00.000Z
Minuwangoda,2.41,2.0,3.0,3.8,2024-03-18T00:00:00.000Z
Gampaha,3.50,2.0,3.0,3.8,2024-03-18T00:00:00.000Z
Ja-Ela,2.09,2.0,3.0,3.8,2024-03-18T00:00:00.000Z
Negombo,3.17,2.0,3.0,3.8,2024-03-18T00:00:00.000Z
Minuwangoda,2.68,2.0,3.0,3.8,2024-03-19T00:00:00.000Z
Gampaha,3.40,2.0,3.0,3.8,2024-03-19T00:00:00.000Z
Ja-Ela,3.15,2.0,3.0,3.8,2024-03-19T00:00:00.000Z
