location,temperature,humidity,pressure,rainfall,recordedAt,source
Minuwangoda,31.3,85,1009,19.67,2024-01-01T00:00:00.000Z,Simulated
Gampaha,27.3,69,1010,12.58,2024-01-01T00:00:00.000Z,Simulated
Ja-Ela,30.2,70,1006,11.11,2024-01-01T00:00:00.000Z,Simulated
Negombo,28.2,85,1008,11.55,2024-01-01T00:00:00.000Z,Simulated
Minuwangoda,28.1,93,1001,11.99,2024-01-02T00:00:00.000Z,Simulated
Gampaha,30.0,91,1009,16.40,2024-01-02T00:00:00.000Z,Simulated
Ja-Ela,30.2,79,1002,7.01,2024-01-02T00:00:00.000Z,Simulated
Negombo,26.9,85,1004,7.26,2024-01-02T00:00:00.000Z,Simulated
Minuwangoda,27.9,68,1002,6.79,2024-01-03T00:00:00.000Z,Simulated
Gampaha,27.1,69,1004,15.73,2024-01-03T00:00:00.000Z,Simulated
Ja-Ela,27.4,83,1001,2.63,2024-01-03T00:00:00.000Z,Simulated
Negombo,26.9,89,1001,11.04,2024-01-03T00:00:00.000Z,Simulated
Minuwangoda,31.2,87,1004,4.22,2024-01-04T00:00:00.000Z,Simulated
Gampaha,28.5,66,1004,16.75,2024-01-04T00:00:00.000Z,Simulated
Ja-Ela,28.6,84,1001,15.41,2024-01-04T00:00:00.000Z,Simulated
Negombo,31.3,95,1003,3.21,2024-01-04T00:00:00.000Z,Simulated
Minuwangoda,27.8,79,1007,1.63,2024-01-05T00:00:00.000Z,Simulated
Gampaha,29.4,74,1002,3.40,2024-01-05T00:00:00.000Z,Simulated
Ja-Ela,30.6,68,1002,11.09,2024-01-05T00:00:00.000Z,Simulated
Negombo,26.9,70,1008,10.49,2024-01-05T00:00:00.000Z,Simulated
Minuwangoda,28.1,71,1003,11.57,2024-01-06T00:00:00.000Z,Simulated
Gampaha,29.7,83,1009,15.09,2024-01-06T00:00:00.000Z,Simulated
Ja-Ela,28.4,89,1001,19.48,2024-01-06T00:00:00.000Z,Simulated
Negombo,30.2,65,1000,13.48,2024-01-06T00:00:00.000Z,Simulated
Minuwangoda,27.9,73,1009,5.28,2024-01-07T00:00:00.000Z,Simulated
Gampaha,30.1,92,1006,9.68,2024-01-07T00:00:00.000Z,Simulated
Ja-Ela,30.5,72,1004,12.58,2024-01-07T00:00:00.000Z,Simulated
Negombo,26.4,83,1002,18.65,2024-01-07T00:00:00.000Z,Simulated
Minuwangoda,29.8,70,1005,9.17,2024-01-08T00:00:00.000Z,Simulated
Gampaha,26.1,90,1004,17.69,2024-01-08T00:00:00.000Z,Simulated
Ja-Ela,26.8,94,1003,18.93,2024-01-08T00:00:00.000Z,Simulated
Negombo,30.8,70,1001,12.30,2024-01-08T00:00:00.000Z,Simulated
Minuwangoda,27.0,88,1006,18.59,2024-01-09T00:00:00.000Z,Simulated
Gampaha,26.9,67,1010,16.19,2024-01-09T00:00:00.000Z,Simulated
Ja-Ela,30.3,76,1007,4.75,2024-01-09T00:00:00.000Z,Simulated
Negombo,30.9,74,1005,5.48,2024-01-09T00:00:00.000Z,Simulated
Minuwangoda,28.9,82,1003,0.15,2024-01-10T00:00:00.000Z,Simulated
Gampaha,27.9,66,1007,3.28,2024-01-10T00:00:00.000Z,Simulated
Ja-Ela,29.6,91,1004,2.88,2024-01-10T00:00:00.000Z,Simulated
Negombo,27.1,85,1004,18.84,2024-01-10T00:00:00.000Z,Simulated
Minuwangoda,30.3,71,1010,9.28,2024-01-11T00:00:00.000Z,Simulated
Gampaha,27.5,77,1000,4.65,2024-01-11T00:00:00.000Z,Simulated
Ja-Ela,31.3,83,1008,5.12,2024-01-11T00:00:00.000Z,Simulated
Negombo,29.4,75,1003,4.04,2024-01-11T00:00:00.000Z,Simulated
Minuwangoda,26.5,92,1006,2.82,2024-01-12T00:00:00.000Z,Simulated
Gampaha,28.0,84,1006,6.83,2024-01-12T00:00:00.000Z,Simulated
Ja-Ela,27.1,73,1001,5.86,2024-01-12T00:00:00.000Z,Simulated
Negombo,28.1,82,1010,6.85,2024-01-12T00:00:00.000Z,Simulated
Minuwangoda,31.6,89,1007,10.66,2024-01-13T00:00:00.000Z,Simulated
Gampaha,29.8,70,1004,5.26,2024-01-13T00:00:00.000Z,Simulated
Ja-Ela,29.5,72,1005,12.69,2024-01-13T00:00:00.000Z,Simulated
Negombo,30.1,66,1005,14.30,2024-01-13T00:00:00.000Z,Simulated
Minuwangoda,28.5,72,1000,16.02,2024-01-14T00:00:00.000Z,Simulated
Gampaha,31.4,87,1004,15.84,2024-01-14T00:00:00.000Z,Simulated
Ja-Ela,28.8,67,1000,12.50,2024-01-14T00:00:00.000Z,Simulated
Negombo,26.3,68,1002,14.30,2024-01-14T00:00:00.000Z,Simulated
Minuwangoda,28.8,69,1001,13.95,2024-01-15T00:00:00.000Z,Simulated
Gampaha,28.4,77,1006,16.77,2024-01-15T00:00:00.000Z,Simulated
Ja-Ela,31.7,85,1010,3.17,2024-01-15T00:00:00.000Z,Simulated
Negombo,29.8,66,1001,9.79,2024-01-15T00:00:00.000Z,Simulated
Minuwangoda,26.2,82,1006,10.02,2024-01-16T00:00:00.000Z,Simulated
Gampaha,26.2,73,1000,2.26,2024-01-16T00:00:00.000Z,Simulated
Ja-Ela,26.1,89,1002,5.74,2024-01-16T00:00:00.000Z,Simulated
Negombo,31.6,78,1004,17.64,2024-01-16T00:00:00.000Z,Simulated
Minuwangoda,31.7,75,1006,0.93,2024-01-17T00:00:00.000Z,Simulated
Gampaha,29.2,76,1010,13.89,2024-01-17T00:00:00.000Z,Simulated
Ja-Ela,27.7,82,1006,19.38,2024-01-17T00:00:00.000Z,Simulated
Negombo,31.2,77,1005,5.27,2024-01-17T00:00:00.000Z,Simulated
Minuwangoda,30.3,83,1009,15.89,2024-01-18T00:00:00.000Z,Simulated
Gampaha,27.6,92,1003,2.26,2024-01-18T00:00:00.000Z,Simulated
Ja-Ela,27.2,82,1006,5.88,2024-01-18T00:00:00.000Z,Simulated
Negombo,30.8,79,1000,12.11,2024-01-18T00:00:00.000Z,Simulated
